location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature,Precipitation Total,Snowfall Amount,Relative Humidity,Relative Humidity,Relative Humidity,Cloud Cover Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,mm,cm,%,%,%,%,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,sfc,2 m,2 m,2 m,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation,Summation,Maximum,Minimum,Mean,Mean,Maximum,Minimum,Mean,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Snowfall Amount,Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Cloud Cover Total,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m]
20210519T0000,12.720529,8.390529,10.399279,1.7,0.0,82.0,58.0,71.166664,89.125,22.81957,1.1384199,12.870723,264.12573
20210520T0000,16.79053,7.790529,12.044696,0.2,0.0,85.0,47.0,66.833336,76.833336,18.72,1.8,12.023784,257.90524
20210521T0000,19.06053,9.750529,13.260113,3.9,0.0,81.0,42.0,60.75,100.0,27.722336,8.557102,14.916942,240.20178
20210522T0000,16.87053,8.0505295,12.434278,0.3,0.0,79.0,41.0,61.791668,45.875,25.223133,13.70839,19.997244,256.1827
20210523T0000,17.04053,8.210529,12.331363,0.0,0.0,82.0,44.0,63.208332,52.762497,21.602999,5.8048253,12.993664,268.86877
20210524T0000,18.80053,7.8505287,12.958027,2.6,0.0,82.0,46.0,64.458336,81.9,22.668568,0.8049845,10.166049,249.09016
20210525T0000,15.940529,6.1305285,10.995946,0.1,0.0,78.0,36.0,59.25,22.820833,30.293522,13.493999,24.344711,258.36017
20210526T0000,17.79053,8.250529,13.199279,2.1,0.0,89.0,39.0,63.083332,82.333336,35.870163,5.634891,19.895126,260.43646
20210527T0000,17.860529,9.710529,13.476779,6.6000004,0.0,94.0,45.0,72.041664,62.583332,14.693999,0.35999998,7.2476716,305.35498
20210528T0000,20.610529,8.980529,14.984695,0.0,0.0,84.0,52.0,65.875,16.237501,20.880001,3.0758414,9.552165,9.605194
20210529T0000,20.79053,10.130529,15.94928,0.0,0.0,84.0,37.0,61.208332,41.958332,10.823973,0.71999997,5.8854814,74.215164
20210530T0000,21.32053,7.1805286,14.910529,0.0,0.0,82.0,31.0,55.083332,0.041666668,24.850431,0.5091169,14.172181,88.89238
20210531T0000,22.360529,6.1205287,14.81553,0.0,0.0,75.0,32.0,53.583332,0.0,14.759999,0.35999998,8.085296,96.06492
20210601T0000,25.000528,9.310529,17.990944,0.0,0.0,73.0,35.0,52.583332,0.0,12.979984,6.379216,9.963276,102.08831
20210602T0000,25.31053,13.480529,19.664278,0.3,0.0,72.0,39.0,56.375,22.162498,13.281023,1.8,7.506744,109.65382
20210603T0000,26.530529,15.860529,21.375528,0.5,0.0,75.0,44.0,57.5,28.466667,9.686609,1.08,5.407198,117.657425
20210604T0000,25.840528,17.590528,21.818861,1.0,0.0,89.0,46.0,59.625,61.483334,12.015589,2.7416782,6.010307,117.264694
